3138.csv has VALID utf-8
3139.csv has VALID utf-8
3140.csv has VALID utf-8
3141.csv has VALID utf-8
3142.csv has VALID utf-8
3143.csv has INVALID utf-8
3144.csv has VALID utf-8
3145.csv has VALID utf-8
3146.csv has VALID utf-8
3147.csv has VALID utf-8
3148.csv has VALID utf-8
3149.csv has VALID utf-8
3150.csv has VALID utf-8
3151.csv has VALID utf-8
3152.csv has VALID utf-8
3153.csv has VALID utf-8
3154.csv has VALID utf-8
3155.csv has VALID utf-8
3156.csv has VALID utf-8
3158.csv has VALID utf-8
3159.csv has VALID utf-8
3160.csv has VALID utf-8
3157.csv has INVALID utf-8
3161.csv has VALID utf-8
3162.csv has VALID utf-8
3163.csv has VALID utf-8
3164.csv has VALID utf-8
3165.csv has VALID utf-8
3166.csv has VALID utf-8
3167.csv has VALID utf-8
3168.csv has VALID utf-8
3169.csv has VALID utf-8
3170.csv has VALID utf-8
3171.csv has INVALID utf-8
3172.csv has VALID utf-8
3173.csv has VALID utf-8
3174.csv has VALID utf-8
3175.csv has VALID utf-8
3176.csv has VALID utf-8
3177.csv has VALID utf-8
3178.csv has VALID utf-8
3180.csv has VALID utf-8
3181.csv has VALID utf-8
3179.csv has INVALID utf-8
3182.csv has VALID utf-8
3184.csv has VALID utf-8
3183.csv has INVALID utf-8
3185.csv has VALID utf-8
3186.csv has VALID utf-8
3187.csv has VALID utf-8
3188.csv has VALID utf-8
3189.csv has VALID utf-8
3190.csv has VALID utf-8
3191.csv has VALID utf-8
3193.csv has VALID utf-8
3192.csv has INVALID utf-8
3195.csv has VALID utf-8
3194.csv has VALID utf-8
3196.csv has INVALID utf-8
3197.csv has INVALID utf-8
3198.csv has VALID utf-8
3199.csv has VALID utf-8
3200.csv has VALID utf-8
3201.csv has VALID utf-8
3202.csv has VALID utf-8
3203.csv has VALID utf-8
3204.csv has VALID utf-8
3205.csv has VALID utf-8
3206.csv has VALID utf-8
3207.csv has VALID utf-8
3208.csv has INVALID utf-8
3209.csv has INVALID utf-8
3212.csv has VALID utf-8
3213.csv has INVALID utf-8
3211.csv has INVALID utf-8
3210.csv has INVALID utf-8
3214.csv has VALID utf-8
3215.csv has VALID utf-8
3216.csv has INVALID utf-8
3217.csv has INVALID utf-8
3218.csv has VALID utf-8
3219.csv has VALID utf-8
3220.csv has VALID utf-8
3221.csv has INVALID utf-8
3222.csv has INVALID utf-8
3223.csv has INVALID utf-8
3224.csv has VALID utf-8
3225.csv has INVALID utf-8
3227.csv has INVALID utf-8
3226.csv has VALID utf-8
3228.csv has INVALID utf-8
3229.csv has INVALID utf-8
